Chain-number-run;Blocks;Total;TotalSelfish;TotalHonest;UncleSelfish;UncleHonest;NephewSelfish;NephewHonest;MinedSelf;MinedHonest;absSelfRev;absHonestRev
chain-1-1_selfPow-50_dyn-true;100001;209711.833333;9961.888889;199749.944444;8864.500000;498.000000;1.388889;347.944444;1096.000000;198904.000000;0.049809;0.998750
chain-1-1_selfPow-50_dyn-false;100002;206546.444444;6938.166667;199608.277778;5863.000000;337.000000;1.166667;343.277778;1074.000000;198928.000000;0.034690;0.998031
chain-2-1_selfPow-100_dyn-true;100001;218327.000000;20240.666667;198086.333333;15851.000000;1812.500000;9.666667;653.833333;4380.000000;195620.000000;0.101203;0.990432
chain-2-1_selfPow-100_dyn-false;100002;212495.722222;14812.500000;197683.222222;10554.000000;1282.000000;10.500000;647.222222;4248.000000;195754.000000;0.074062;0.988406
chain-3-1_selfPow-150_dyn-true;100001;226347.444444;32470.833333;193876.611111;21235.000000;4147.000000;33.833333;931.611111;11202.000000;188798.000000;0.162354;0.969383
chain-3-1_selfPow-150_dyn-false;100001;218246.777778;25511.833333;192734.944444;14126.000000;3160.000000;31.833333;928.944444;11354.000000;188646.000000;0.127559;0.963675
chain-4-1_selfPow-200_dyn-true;100001;232731.444444;45793.972222;186937.472222;24131.750000;7389.250000;72.222222;1138.222222;21590.000000;178410.000000;0.228970;0.934687
chain-4-1_selfPow-200_dyn-false;100001;222668.000000;37002.277778;185665.722222;16198.000000;5274.000000;68.277778;1127.722222;20736.000000;179264.000000;0.185011;0.928329
chain-5-1_selfPow-250_dyn-true;100001;237107.666667;60241.722222;176865.944444;24938.500000;10777.500000;133.222222;1258.444444;35170.000000;164830.000000;0.301209;0.884330
chain-5-1_selfPow-250_dyn-false;100001;226191.055556;51792.388889;174398.666667;16747.000000;8061.000000;131.388889;1251.666667;34914.000000;165086.000000;0.258962;0.871993
chain-6-1_selfPow-300_dyn-true;100001;239254.055556;75452.666667;163801.388889;23457.500000;14302.000000;199.166667;1295.388889;51796.000000;148204.000000;0.377263;0.819007
chain-6-1_selfPow-300_dyn-false;100001;228129.944444;67317.222222;160812.722222;15940.000000;10703.000000;197.222222;1289.722222;51180.000000;148820.000000;0.336586;0.804064
chain-7-1_selfPow-350_dyn-true;100001;238277.250000;92334.805556;145942.444444;20074.750000;16724.000000;262.055556;1216.444444;71998.000000;128002.000000;0.461674;0.729712
chain-7-1_selfPow-350_dyn-false;100001;228157.833333;85848.888889;142308.944444;13923.000000;12745.000000;257.888889;1231.944444;71668.000000;128332.000000;0.429244;0.711545
chain-8-1_selfPow-400_dyn-true;100001;233459.111111;110425.527778;123033.583333;15057.250000;17096.250000;280.277778;1027.333333;95088.000000;104910.000000;0.552133;0.615174
chain-8-1_selfPow-400_dyn-false;100001;224784.555556;106062.166667;118722.388889;10485.000000;12988.000000;285.166667;1026.388889;95292.000000;104708.000000;0.530311;0.593612
chain-9-1_selfPow-450_dyn-true;100001;223557.138889;127603.666667;95953.472222;8992.000000;13640.250000;235.666667;689.222222;118376.000000;81624.000000;0.638018;0.479767
chain-9-1_selfPow-450_dyn-false;100001;217428.722222;125088.222222;92340.500000;6265.000000;10241.000000;229.222222;693.500000;118594.000000;81406.000000;0.625441;0.461702
