Chain-number-run;Blocks;Total;TotalSelfish;TotalHonest;UncleSelfish;UncleHonest;NephewSelfish;NephewHonest;MinedSelf;MinedHonest;absSelfRev;absHonestRev
chain-8-2_selfPow-400_dyn-true;25001;58390.055556;27571.555556;30818.500000;3728.000000;4335.000000;71.555556;255.500000;23772.000000;26228.000000;0.551431;0.616370
chain-8-2_selfPow-400_dyn-false;25001;56114.333333;26194.944444;29919.388889;2666.000000;3125.000000;68.944444;254.388889;23460.000000;26540.000000;0.523899;0.598388
chain-9-2_selfPow-450_dyn-true;25001;55665.750000;33174.055556;22491.694444;2211.000000;3232.750000;57.055556;164.944444;30906.000000;19094.000000;0.663481;0.449834
chain-9-2_selfPow-450_dyn-false;25002;54482.166667;32214.944444;22267.222222;1579.000000;2664.000000;61.944444;175.222222;30574.000000;19428.000000;0.644273;0.445327
chain-1-3_selfPow-50_dyn-true;25001;52377.194444;2422.083333;49955.111111;2173.750000;118.000000;0.333333;85.111111;248.000000;49752.000000;0.048442;0.999102
chain-1-3_selfPow-50_dyn-false;25002;51634.944444;1737.388889;49897.555556;1463.000000;84.000000;0.388889;85.555556;274.000000;49728.000000;0.034746;0.997911
chain-2-3_selfPow-100_dyn-true;25001;54659.388889;5124.305556;49535.083333;4043.750000;446.750000;2.555556;166.333333;1078.000000;48922.000000;0.102486;0.990702
chain-2-3_selfPow-100_dyn-false;25001;53181.444444;3862.500000;49318.944444;2654.000000;360.000000;2.500000;164.944444;1206.000000;48794.000000;0.077250;0.986379
chain-3-3_selfPow-150_dyn-true;25001;56586.055556;8164.638889;48421.416667;5294.250000;1051.250000;8.388889;232.166667;2862.000000;47138.000000;0.163293;0.968428
chain-3-3_selfPow-150_dyn-false;25001;54548.555556;6364.666667;48183.888889;3538.000000;771.000000;8.666667;230.888889;2818.000000;47182.000000;0.127293;0.963678
chain-4-3_selfPow-200_dyn-true;25001;58101.138889;11472.777778;46628.361111;5995.000000;1806.750000;17.777778;281.611111;5460.000000;44540.000000;0.229456;0.932567
chain-4-3_selfPow-200_dyn-false;25002;55816.222222;9589.888889;46226.333333;4108.000000;1400.000000;19.888889;286.333333;5462.000000;44540.000000;0.191790;0.924490
chain-5-3_selfPow-250_dyn-true;25001;59251.833333;15145.972222;44105.861111;6177.750000;2726.750000;32.222222;315.111111;8936.000000;41064.000000;0.302919;0.882117
chain-5-3_selfPow-250_dyn-false;25001;56697.833333;13246.277778;43451.555556;4314.000000;2030.000000;34.277778;319.555556;8898.000000;41102.000000;0.264926;0.869031
chain-6-3_selfPow-300_dyn-true;25001;59643.694444;19087.861111;40555.833333;5687.250000;3587.500000;50.611111;318.333333;13350.000000;36650.000000;0.381757;0.811117
chain-6-3_selfPow-300_dyn-false;25002;57053.555556;17317.777778;39735.777778;3965.000000;2714.000000;50.777778;321.777778;13302.000000;36700.000000;0.346342;0.794684
chain-7-3_selfPow-350_dyn-true;25001;59611.027778;22961.555556;36649.472222;5106.000000;4134.750000;63.555556;306.722222;17792.000000;32208.000000;0.459231;0.732989
chain-7-3_selfPow-350_dyn-false;25002;56938.000000;21254.000000;35684.000000;3457.000000;3112.000000;61.000000;306.000000;17736.000000;32266.000000;0.425063;0.713651
chain-8-3_selfPow-400_dyn-true;25001;58371.972222;27767.944444;30604.027778;3792.000000;4253.750000;69.944444;256.277778;23906.000000;26094.000000;0.555359;0.612081
chain-8-3_selfPow-400_dyn-false;25001;56127.777778;25779.333333;30348.444444;2604.000000;3199.000000;69.333333;255.444444;23106.000000;26894.000000;0.515587;0.606969
chain-9-3_selfPow-450_dyn-true;25001;56026.527778;32110.027778;23916.500000;2328.250000;3461.500000;59.777778;177.000000;29722.000000;20278.000000;0.642201;0.478330
chain-9-3_selfPow-450_dyn-false;25001;54201.500000;30512.500000;23689.000000;1556.000000;2423.000000;56.500000;166.000000;28900.000000;21100.000000;0.610250;0.473780
chain-1-4_selfPow-50_dyn-true;25001;52365.888889;2423.138889;49942.750000;2180.750000;100.250000;0.388889;84.500000;242.000000;49758.000000;0.048463;0.998855
chain-1-4_selfPow-50_dyn-false;25001;51627.666667;1641.277778;49986.388889;1475.000000;67.000000;0.277778;85.388889;166.000000;49834.000000;0.032826;0.999728
chain-2-4_selfPow-100_dyn-true;25001;54731.277778;5248.611111;49482.666667;4061.500000;498.500000;3.111111;168.166667;1184.000000;48816.000000;0.104972;0.989653
chain-2-4_selfPow-100_dyn-false;25002;53171.833333;3771.222222;49400.611111;2665.000000;338.000000;2.222222;164.611111;1104.000000;48898.000000;0.075421;0.987973
chain-3-4_selfPow-150_dyn-true;25001;56510.500000;7836.111111;48674.388889;5307.500000;965.500000;6.611111;230.888889;2522.000000;47478.000000;0.156722;0.973488
chain-3-4_selfPow-150_dyn-false;25002;54572.611111;6321.944444;48250.666667;3607.000000;723.000000;8.944444;231.666667;2706.000000;47296.000000;0.126434;0.964975
chain-4-4_selfPow-200_dyn-true;25001;58277.333333;11644.305556;46633.027778;6050.750000;1919.750000;19.555556;287.277778;5574.000000;44426.000000;0.232886;0.932661
chain-4-4_selfPow-200_dyn-false;25002;55738.333333;9129.666667;46608.666667;4162.000000;1272.000000;17.666667;284.666667;4950.000000;45052.000000;0.182586;0.932136
chain-5-4_selfPow-250_dyn-true;25001;59290.583333;15238.583333;44052.000000;6198.250000;2744.000000;34.333333;314.000000;9006.000000;40994.000000;0.304772;0.881040
chain-5-4_selfPow-250_dyn-false;25002;56579.500000;12868.944444;43710.555556;4244.000000;1986.000000;34.944444;312.555556;8590.000000;41412.000000;0.257369;0.874176
chain-6-4_selfPow-300_dyn-true;25001;59840.944444;19075.916667;40765.027778;5861.750000;3606.250000;52.166667;320.777778;13162.000000;36838.000000;0.381518;0.815301
chain-6-4_selfPow-300_dyn-false;25001;56938.722222;17077.333333;39861.388889;3934.000000;2638.000000;49.333333;317.388889;13094.000000;36906.000000;0.341547;0.797228
chain-7-4_selfPow-350_dyn-true;25001;59582.638889;23197.055556;36385.583333;4937.000000;4275.250000;66.055556;304.333333;18194.000000;31806.000000;0.463941;0.727712
chain-7-4_selfPow-350_dyn-false;25002;57009.555556;21490.388889;35519.166667;3487.000000;3150.000000;65.388889;305.166667;17938.000000;32064.000000;0.429791;0.710355
chain-8-4_selfPow-400_dyn-true;25001;58469.388889;27615.805556;30853.583333;3831.250000;4309.250000;72.555556;256.333333;23712.000000;26288.000000;0.552316;0.617072
chain-8-4_selfPow-400_dyn-false;25001;55987.888889;26945.555556;29042.333333;2567.000000;3104.000000;68.555556;248.333333;24310.000000;25690.000000;0.538911;0.580847
chain-9-4_selfPow-450_dyn-true;25001;55781.916667;31943.861111;23838.055556;2221.250000;3334.000000;56.611111;170.055556;29666.000000;20334.000000;0.638877;0.476761
chain-9-4_selfPow-450_dyn-false;25001;54171.555556;31681.611111;22489.944444;1483.000000;2468.000000;54.611111;165.944444;30144.000000;19856.000000;0.633632;0.449799
