Chain-number-run;Blocks;Total;TotalSelfish;TotalHonest;UncleSelfish;UncleHonest;NephewSelfish;NephewHonest;MinedSelf;MinedHonest;absSelfRev;absHonestRev
chain-1-1_selfPow-50_dyn-true;100001;209600.555556;9838.055556;199762.500000;8790.500000;464.500000;1.555556;344.000000;1046.000000;198954.000000;0.049190;0.998812
chain-1-1_selfPow-50_dyn-false;100002;206776.555556;7167.666667;199608.888889;6038.000000;380.000000;1.666667;354.888889;1128.000000;198874.000000;0.035838;0.998034
chain-2-1_selfPow-100_dyn-true;100001;218510.666667;20384.138889;198126.527778;16064.750000;1774.750000;9.388889;661.777778;4310.000000;195690.000000;0.101921;0.990633
chain-2-1_selfPow-100_dyn-false;100001;212720.722222;15149.277778;197571.444444;10703.000000;1348.000000;10.277778;659.444444;4436.000000;195564.000000;0.075746;0.987857
chain-3-1_selfPow-150_dyn-true;100001;226491.694444;32502.722222;193988.972222;21347.500000;4175.250000;33.222222;935.722222;11122.000000;188878.000000;0.162514;0.969945
chain-3-1_selfPow-150_dyn-false;100002;218117.555556;25390.888889;192726.666667;14064.000000;3097.000000;32.888889;921.666667;11294.000000;188708.000000;0.126953;0.963624
chain-4-1_selfPow-200_dyn-true;100001;232732.388889;45660.611111;187071.777778;24141.500000;7380.500000;75.111111;1135.277778;21444.000000;178556.000000;0.228303;0.935359
chain-4-1_selfPow-200_dyn-false;100001;222925.388889;37902.500000;185022.888889;16311.000000;5406.000000;75.500000;1132.888889;21516.000000;178484.000000;0.189513;0.925114
chain-5-1_selfPow-250_dyn-true;100001;236968.444444;59806.638889;177161.805556;24967.750000;10615.750000;132.888889;1252.055556;34706.000000;165294.000000;0.299033;0.885809
chain-5-1_selfPow-250_dyn-false;100001;226539.777778;52173.555556;174366.222222;17114.000000;8025.000000;133.555556;1267.222222;34926.000000;165074.000000;0.260868;0.871831
chain-6-1_selfPow-300_dyn-true;100001;239295.111111;75454.250000;163840.861111;23608.250000;14191.750000;200.000000;1295.111111;51646.000000;148354.000000;0.377271;0.819204
chain-6-1_selfPow-300_dyn-false;100001;228197.888889;68448.722222;159749.166667;15989.000000;10718.000000;201.722222;1289.166667;52258.000000;147742.000000;0.342244;0.798746
chain-7-1_selfPow-350_dyn-true;100001;238431.583333;92678.777778;145752.805556;20120.000000;16828.750000;260.777778;1222.055556;72298.000000;127702.000000;0.463394;0.728764
chain-7-1_selfPow-350_dyn-false;100001;227924.222222;86170.888889;141753.333333;13790.000000;12656.000000;260.888889;1217.333333;72120.000000;127880.000000;0.430854;0.708767
chain-8-1_selfPow-400_dyn-true;100001;233652.277778;109029.527778;124622.750000;15394.250000;16944.750000;279.277778;1034.000000;93356.000000;106644.000000;0.545148;0.623114
chain-8-1_selfPow-400_dyn-false;100001;224935.722222;105981.222222;118954.500000;10532.000000;13083.000000;283.222222;1037.500000;95166.000000;104834.000000;0.529906;0.594772
chain-9-1_selfPow-450_dyn-true;100001;222681.666667;130099.055556;92582.611111;8565.000000;13226.000000;224.055556;666.611111;121310.000000;78690.000000;0.650495;0.462913
chain-9-1_selfPow-450_dyn-false;100001;217074.611111;125212.777778;91861.833333;6105.000000;10065.000000;231.777778;672.833333;118876.000000;81124.000000;0.626064;0.459309
