Chain-number-run;Blocks;Total;TotalSelfish;TotalHonest;UncleSelfish;UncleHonest;NephewSelfish;NephewHonest;MinedSelf;MinedHonest;absSelfRev;absHonestRev
chain-1-1_selfPow-50_dyn-true;100001;209538.055556;9739.833333;199798.222222;8747.000000;448.000000;0.833333;342.222222;992.000000;199008.000000;0.048699;0.998991
chain-1-1_selfPow-50_dyn-false;100001;206689.055556;6972.944444;199716.111111;6008.000000;329.000000;0.944444;351.111111;964.000000;199036.000000;0.034865;0.998581
chain-2-1_selfPow-100_dyn-true;100001;218352.888889;20358.972222;197993.916667;15829.750000;1857.750000;11.222222;654.166667;4518.000000;195482.000000;0.101795;0.989970
chain-2-1_selfPow-100_dyn-false;100001;212597.222222;15091.777778;197505.444444;10563.000000;1371.000000;10.777778;652.444444;4518.000000;195482.000000;0.075459;0.987527
chain-3-1_selfPow-150_dyn-true;100001;226294.250000;32073.222222;194221.027778;21102.000000;4231.750000;31.222222;931.277778;10940.000000;189058.000000;0.160368;0.971115
chain-3-1_selfPow-150_dyn-false;100001;218332.166667;25408.944444;192923.222222;14278.000000;3089.000000;32.944444;932.222222;11098.000000;188902.000000;0.127045;0.964616
chain-4-1_selfPow-200_dyn-true;100001;232557.861111;45696.138889;186861.722222;24069.750000;7282.000000;72.388889;1133.722222;21554.000000;178446.000000;0.228481;0.934309
chain-4-1_selfPow-200_dyn-false;100002;222935.944444;37402.000000;185533.944444;16402.000000;5323.000000;74.000000;1134.944444;20926.000000;179076.000000;0.187008;0.927660
chain-5-1_selfPow-250_dyn-true;100001;236943.083333;60005.805556;176937.277778;24901.750000;10653.500000;132.055556;1255.777778;34972.000000;165028.000000;0.300029;0.884686
chain-5-1_selfPow-250_dyn-false;100001;226340.777778;51978.388889;174362.388889;16876.000000;8074.000000;130.388889;1260.388889;34972.000000;165028.000000;0.259892;0.871812
chain-6-1_selfPow-300_dyn-true;100001;239002.555556;75187.833333;163814.722222;23258.000000;14260.000000;197.833333;1286.722222;51732.000000;148268.000000;0.375939;0.819074
chain-6-1_selfPow-300_dyn-false;100001;228354.166667;68581.833333;159772.333333;16203.000000;10652.000000;204.833333;1294.333333;52174.000000;147826.000000;0.342909;0.798862
chain-7-1_selfPow-350_dyn-true;100001;237933.638889;92549.527778;145384.111111;20077.250000;16393.500000;256.277778;1206.611111;72216.000000;127784.000000;0.462748;0.726921
chain-7-1_selfPow-350_dyn-false;100001;227919.777778;85557.444444;142362.333333;13869.000000;12574.000000;256.444444;1220.333333;71432.000000;128568.000000;0.427787;0.711812
chain-8-1_selfPow-400_dyn-true;100001;233419.527778;109963.861111;123455.666667;15239.750000;16877.000000;278.111111;1024.666667;94446.000000;105554.000000;0.549819;0.617278
chain-8-1_selfPow-400_dyn-false;100001;224827.611111;105414.222222;119413.388889;10593.000000;12919.000000;285.222222;1030.388889;94536.000000;105464.000000;0.527071;0.597067
chain-9-1_selfPow-450_dyn-true;100027;223227.861111;130157.805556;93070.055556;8846.250000;13420.000000;231.555556;678.055556;121080.000000;78972.000000;0.650620;0.465229
chain-9-1_selfPow-450_dyn-false;100001;217166.388889;125693.833333;91472.555556;6143.000000;10115.000000;230.833333;677.555556;119320.000000;80680.000000;0.628469;0.457363
