Chain-number-run;Blocks;Total;TotalSelfish;TotalHonest;UncleSelfish;UncleHonest;NephewSelfish;NephewHonest;MinedSelf;MinedHonest;absSelfRev;absHonestRev
chain-1-1_selfPow-50_dyn-true;100001;209684.750000;9834.166667;199850.583333;8892.500000;444.250000;1.666667;346.333333;940.000000;199060.000000;0.049171;0.999253
chain-1-1_selfPow-50_dyn-false;100001;206656.333333;7000.111111;199656.222222;5969.000000;337.000000;1.111111;349.222222;1030.000000;198970.000000;0.035001;0.998281
chain-2-1_selfPow-100_dyn-true;100001;218565.666667;20465.805556;198099.861111;16155.250000;1738.250000;10.555556;661.611111;4300.000000;195700.000000;0.102329;0.990499
chain-2-1_selfPow-100_dyn-false;100001;212740.833333;15299.333333;197441.500000;10693.000000;1377.000000;10.333333;660.500000;4596.000000;195404.000000;0.076497;0.987207
chain-3-1_selfPow-150_dyn-true;100001;226197.611111;32122.777778;194074.833333;21054.000000;4185.500000;30.777778;927.333333;11038.000000;188962.000000;0.160614;0.970374
chain-3-1_selfPow-150_dyn-false;100002;218421.611111;25320.777778;193100.833333;14407.000000;3042.000000;31.777778;938.833333;10882.000000;189120.000000;0.126603;0.965495
chain-4-1_selfPow-200_dyn-true;100001;232718.583333;45931.555556;186787.027778;24168.000000;7338.250000;75.555556;1136.777778;21688.000000;178312.000000;0.229658;0.933935
chain-4-1_selfPow-200_dyn-false;100002;222978.777778;38067.666667;184911.111111;16309.000000;5456.000000;74.666667;1137.111111;21684.000000;178318.000000;0.190336;0.924546
chain-5-1_selfPow-250_dyn-true;100001;236964.250000;60059.166667;176905.083333;24809.000000;10767.250000;126.166667;1261.833333;35124.000000;164876.000000;0.300296;0.884525
chain-5-1_selfPow-250_dyn-false;100001;226366.888889;51979.333333;174387.555556;17013.000000;7962.000000;134.333333;1257.555556;34832.000000;165168.000000;0.259897;0.871938
chain-6-1_selfPow-300_dyn-true;100001;239303.611111;75614.638889;163688.972222;23641.750000;14166.750000;196.888889;1298.222222;51776.000000;148224.000000;0.378073;0.818445
chain-6-1_selfPow-300_dyn-false;100001;228106.722222;68187.166667;159919.555556;16012.000000;10610.000000;199.166667;1285.555556;51976.000000;148024.000000;0.340936;0.799598
chain-7-1_selfPow-350_dyn-true;100001;238057.583333;92641.611111;145415.972222;19925.500000;16662.750000;256.111111;1213.222222;72460.000000;127540.000000;0.463208;0.727080
chain-7-1_selfPow-350_dyn-false;100001;227890.611111;86042.722222;141847.888889;13848.000000;12567.000000;260.722222;1214.888889;71934.000000;128066.000000;0.430214;0.709239
chain-8-1_selfPow-400_dyn-true;100001;233420.138889;110793.388889;122626.750000;14971.000000;17147.250000;280.388889;1021.500000;95542.000000;104458.000000;0.553967;0.613134
chain-8-1_selfPow-400_dyn-false;100002;225026.111111;105246.333333;119779.777778;10726.000000;12972.000000;284.333333;1041.777778;94236.000000;105766.000000;0.526226;0.598893
chain-9-1_selfPow-450_dyn-true;100023;223406.666667;125520.361111;97886.305556;8929.750000;13515.750000;230.611111;686.555556;116360.000000;83684.000000;0.627464;0.489324
chain-9-1_selfPow-450_dyn-false;100001;217087.444444;125961.833333;91125.611111;6177.000000;10006.000000;230.833333;673.611111;119554.000000;80446.000000;0.629809;0.455628
