Chain-number-run;Blocks;Total;TotalSelfish;TotalHonest;UncleSelfish;UncleHonest;NephewSelfish;NephewHonest;MinedSelf;MinedHonest;absSelfRev;absHonestRev
chain-1-1_selfPow-50_dyn-true;100001;209593.194444;9809.916667;199783.277778;8800.750000;447.500000;1.166667;343.777778;1008.000000;198992.000000;0.049050;0.998916
chain-1-1_selfPow-50_dyn-false;100002;206539.055556;6885.111111;199653.944444;5890.000000;303.000000;1.111111;342.944444;994.000000;199008.000000;0.034425;0.998260
chain-2-1_selfPow-100_dyn-true;100001;218359.500000;20552.694444;197806.805556;15765.750000;1928.250000;10.944444;654.555556;4776.000000;195224.000000;0.102763;0.989034
chain-2-1_selfPow-100_dyn-false;100002;212868.333333;15241.666667;197626.666667;10837.000000;1352.000000;8.666667;668.666667;4396.000000;195606.000000;0.076208;0.988123
chain-3-1_selfPow-150_dyn-true;100001;226499.111111;32655.694444;193843.416667;21303.250000;4225.750000;30.444444;939.666667;11322.000000;188678.000000;0.163278;0.969217
chain-3-1_selfPow-150_dyn-false;100001;218190.222222;25298.388889;192891.833333;14178.000000;3056.000000;34.388889;923.833333;11086.000000;188912.000000;0.126493;0.964469
chain-4-1_selfPow-200_dyn-true;100001;232689.055556;45995.527778;186693.527778;24010.250000;7466.250000;79.277778;1133.277778;21906.000000;178094.000000;0.229978;0.933468
chain-4-1_selfPow-200_dyn-false;100001;223036.000000;37760.611111;185275.388889;16459.000000;5362.000000;75.611111;1139.388889;21226.000000;178774.000000;0.188803;0.926377
chain-5-1_selfPow-250_dyn-true;100001;236820.194444;59754.444444;177065.750000;24752.500000;10683.250000;131.944444;1252.500000;34870.000000;165130.000000;0.298772;0.885329
chain-5-1_selfPow-250_dyn-false;100001;226276.055556;52348.555556;173927.500000;16887.000000;8002.000000;129.555556;1257.500000;35332.000000;164668.000000;0.261743;0.869638
chain-6-1_selfPow-300_dyn-true;100001;238778.083333;75439.277778;163338.805556;23436.000000;13866.750000;189.277778;1286.055556;51814.000000;148186.000000;0.377196;0.816694
chain-6-1_selfPow-300_dyn-false;100009;228149.388889;68448.611111;159700.777778;15988.000000;10658.000000;198.611111;1288.777778;52262.000000;147754.000000;0.342216;0.798440
chain-7-1_selfPow-350_dyn-true;100001;238436.027778;92166.722222;146269.305556;20316.000000;16639.250000;258.722222;1222.055556;71592.000000;128408.000000;0.460834;0.731347
chain-7-1_selfPow-350_dyn-false;100001;227803.500000;85545.444444;142258.055556;13866.000000;12468.000000;249.444444;1222.055556;71430.000000;128568.000000;0.427731;0.711297
chain-8-1_selfPow-400_dyn-true;100001;233955.416667;109699.305556;124256.111111;15375.250000;17257.500000;280.055556;1042.611111;94044.000000;105956.000000;0.548497;0.621281
chain-8-1_selfPow-400_dyn-false;100001;224726.722222;107213.722222;117513.000000;10440.000000;12977.000000;285.722222;1024.000000;96488.000000;103512.000000;0.536069;0.587565
chain-9-1_selfPow-450_dyn-true;100001;222771.805556;130532.277778;92239.527778;8733.000000;13148.750000;227.277778;662.777778;121572.000000;78428.000000;0.652661;0.461198
chain-9-1_selfPow-450_dyn-false;100001;216483.111111;125788.666667;90694.444444;5885.000000;9725.000000;217.666667;655.444444;119686.000000;80314.000000;0.628943;0.453472
